Date : 2025-10-03 00:54:16
Directory : /Users/spursh/Documents/code/hours-frontend-next
Total : 95 files,  15140 codes, 171 comments, 1156 blanks, all 16467 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/spursh/Documents/code/hours-frontend-next/hooks/use-mouse-position.ts             | TypeScript         |         55 |          0 |         17 |         72 |
| /Users/spursh/Documents/code/hours-frontend-next/hooks/useAdminDashboard.ts              | TypeScript         |        257 |          0 |         26 |        283 |
| /Users/spursh/Documents/code/hours-frontend-next/hooks/useStudentDashboard.ts            | TypeScript         |         45 |          0 |          9 |         54 |
| /Users/spursh/Documents/code/hours-frontend-next/hooks/useSupervisorDashboard.ts         | TypeScript         |         77 |          0 |         13 |         90 |
| /Users/spursh/Documents/code/hours-frontend-next/lib/api-client.ts                       | TypeScript         |         94 |         19 |         25 |        138 |
| /Users/spursh/Documents/code/hours-frontend-next/lib/utils.ts                            | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/spursh/Documents/code/hours-frontend-next/middleware.ts                           | TypeScript         |         34 |          0 |         19 |         53 |
| /Users/spursh/Documents/code/hours-frontend-next/next.config.mjs                         | JavaScript         |         12 |          1 |          2 |         15 |
| /Users/spursh/Documents/code/hours-frontend-next/package-lock.json                       | JSON               |      3,693 |          0 |          1 |      3,694 |
| /Users/spursh/Documents/code/hours-frontend-next/package.json                            | JSON               |         77 |          0 |          1 |         78 |
| /Users/spursh/Documents/code/hours-frontend-next/pnpm-lock.yaml                          | YAML               |          4 |          0 |          1 |          5 |
| /Users/spursh/Documents/code/hours-frontend-next/postcss.config.mjs                      | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/spursh/Documents/code/hours-frontend-next/public/placeholder-logo.svg             | XML                |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/hours-frontend-next/public/placeholder.svg                  | XML                |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/hours-frontend-next/styles/globals.css                      | CSS                |        151 |          4 |         13 |        168 |
| /Users/spursh/Documents/code/hours-frontend-next/tsconfig.json                           | JSON with Comments |         27 |          0 |          1 |         28 |
| /Users/spursh/Documents/code/hours-frontend-next/types/api.ts                            | TypeScript         |        167 |          1 |         18 |        186 |
| Total                                                                                    |                    |     15,140 |        171 |      1,156 |     16,467 |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
