"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "YAML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 74
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/toggle.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"/Users/spursh/Documents/code/hours-frontend-next/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 1, 20, 108
"/Users/spursh/Documents/code/hours-frontend-next/hooks/use-mobile.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/spursh/Documents/code/hours-frontend-next/hooks/use-mouse-position.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 17, 72
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useAdminDashboard.ts", "TypeScript", 0, 257, 0, 0, 0, 0, 0, 0, 0, 26, 283
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useStudentDashboard.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 9, 54
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useSupervisorDashboard.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 13, 90
"/Users/spursh/Documents/code/hours-frontend-next/lib/api-client.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 0, 0, 19, 25, 138
